"AUSTRALIAN_APPL_NO","ABSTRACT_TEXT"
"1999042438","ABSTRACT The invention relates to an improved castor assembly for a step ladder of the A- frame type which has an inclined ladder section a stabilising support frame (12), a horizontal platform (13) extending between the ladder section (11) and support frame and a pair of opposite lower side braces which extend between the ladder section (11) and support frame (12) near the bottom ends thereof. The castor assembly (18) includes opposite side rails (19, 19') which are pivotally coupled to the lower side braces (14) by means of linkage arms (20, 21) so that the frame (18) can move between a retracted non-transporting position wherein the legs of the ladder engage the ground, and an extended transporting position wherein castor wheels (23) project below the bottom ends of the legs of the ladder. The movement of the 9 9 frame (18) is actuated by means of a foot pedal or rail With the frame in its goo extended transporting position, the side rails (19, 19') are locked in position by means 15 of locking clips (27) secured to the legs of the support frame (12) adjacent the bottom ends thereof. 9 99 9 I I s I THE CLAIMS DEFINING THE INVENTION ARE AS FOLLOWS: 1. In a step ladder or platform ladder of the A-frame type having a ladder section extending upwardly from the ground at an angle thereto and a stabilising support frame which is spaced from the ladder section and fixed rigidly with respect thereto, and a pair of lower side braces which extend between and interconnect the ladder section and the stabilising support frame near the bottom ends thereof, a castor assembly which includes: at least three castor wheels which are mounted to a pivotal sub-frame movable between a first retracted position in which the ladder is stably supported on a horizontal surface by the legs of the ladder section and the stabilising support frame 0. and a second transporting extended position in which the castors project below the base of the ladder and stably support the ladder on the ground with the feet of the o0oo 0 ladder section and the stabilising support frame elevated thereabove, 15 linkage means connected between the sub-frame and the lower side braces of the ladder for swingably supporting the sub-frame for movement between said first *o00 and second positions, locking means for locking the castor sub-frame in its said second transporting position, and 20 actuating means attached to said sub-frame for operating said linkage means in order to move said sub-frame from its said first to said second position. o0oo 2. The ladder assembly according to claim 1 wherein said locking means comprises a catch on saidsupport frame and a catch engaging member on said sub- frame, said catch being arranged to automatically engage said catch engaging member when the sub-frame is moved from its said first position to its said second position. 3. The ladder assembly according to claim 2 wherein said catch is a resilient locking clip fixed to a leg of the stabilising support frame near its bottom end and said catch engaging member is a short length rod or pin fixedly secured to an end of the sub-frame, said rod or pin being held captive by its associated said locking clip Milli a a FIG 1 S FIG 2"
"1999042438","ABSTRACT The invention relates to an improved castor assembly for a step ladder of the A- frame type which has an inclined ladder section a stabilising support frame (12), a horizontal platform (13) extending between the ladder section (11) and support frame and a pair of opposite lower side braces which extend between the ladder section (11) and support frame (12) near the bottom ends thereof. The castor assembly (18) includes opposite side rails (19, 19') which are pivotally coupled to the lower side braces (14) by means of linkage arms (20, 21) so that the frame (18) can move between a retracted non-transporting position wherein the legs of the ladder engage the ground, and an extended transporting position wherein castor wheels (23) project below the bottom ends of the legs of the ladder. The movement of the S frame (18) is actuated by means of a foot pedal or rail With the frame in its extended transporting position, the side rails (19, 19') are locked in position by means 15 of locking clips (27) secured to the legs of the support frame (12) adjacent the bottom ends thereof. a"
"1999042439","Abstract of the Disclosure The invention is directed to a printer having a device for printing a data carrier. It is proposed pro- viding the data carrier with at least one transponder chip (26) and equipping the printer with a device for driving the transponder chip This makes it possible to print the data carrier simultaneously or sequentially and to write data into, or read data out of, the transponder chip. *a a o o o .o"
"1999042439","Abstract of the Disclosure The invention is directed to a printer having a device for printing a data carrier. It is proposed pro- viding the data carrier with at least one transponder chip (26) and equipping the printer with a device for driving the transponder chip This makes it possible to print the data carrier simultaneously or sequentially and to write data into, or read data out of, the transponder chip. S *o 2/ 3 0 0. Fig. 2 27 m 24 22 Fig. 3"
"1999042440","ABSTRACT OF THE DISCLOSURE A liquid medicine-prescribing apparatus for a blood vessel injection comprising a lower case 10 which is combined with two lateral faces 10a, 10b, a running part 60 which has the feed means of liquid medicine and which is inserted into a reception space 24 formed by a cover plate 20 which is open and shut by a hinge 300 of lower case 10 so that mounting and separation may be done, and an upper case 30 which is open and shut by a hinge 21 of a cover plate 20, and on which the lower case 10 is combined to be open and shut by forming the reception space 33 which receives liquid medicine pack. Also the liquid medicine-prescribing control circuit, wherein, with a central processing unit having a reference value according to each step, divided are a normal conversion switch NOR SW for normal operation, a switch INJ SW by which a personal conversion switch PCA MODE SW determines prescribing amount by changed value according to each step, a switch TM SW which determines prescribing time; and connection is provided through an AND gate; a i safety node LOCK SW for prohibiting a personal conversion switch from being oooo operated is connected into an input edge; a detector, with which state of a battery can be detected at any tames connected into a control part and, in case that a detected ,o signal value is different from a set value which is already fixed, a motor control M/C, which control a motor operated simultaneously by a battery power and a buzzer which 4:*4 0 outputs buzzer sound in order to inform outside of state, is connected with a battery. Poo* Sb 0 *55 ego, 0. O"
"1999042442","ABSTRACT A mobile bin having an attached lid lifting assembly, the assembly having a pivoting foot operated arm member which is pivotally attached to the bin side wall for pivoting movement about a horizontal axis, and which is attached to the bin wall adjacent a lower portion of the bin, the arm member having a forward portion which can be depressed by a persons foot and a rear portion, a rigid link member having a lower portion attached to the rear portion of the arm member and which extends to the bin lid and is closely spaced from the side wall of the bin at least between a position from above the bin wheels to below the bin lid, the link member having an upper portion which abuts against the bin lid, whereby depression of the arm member causes the link member to move upwardly to open the bin lid a o a tO~l o ooa. THE CLAIMS DEFINING THE INVENTION ARE AS FOLLOWS: 1. A mobile bin having an attached lid lifting assembly, the assembly having a pivoting foot operated arm member which is pivotally attached relative to the bin side wall for pivoting movement about a horizontal axis, and which is attached adjacent a lower portion of the bin, the arm member having a forward portion which can be depressed by a persons foot and a rear portion, a rigid link member having a lower portion attached to the rear portion of the arm member and which extends to the bin lid and is closely spaced from the side wall of the bin at least between a position from above lo the bin wheels to below the bin lid, the link member having an upper portion which abuts against the bin lid, whereby depression of the arm member causes the link member to move upwardly to open the bin lid, the link :00 member being substantially straight and having an upper portion which passes through an opening in a top rim of the bin to contact the lid, thereby too allowing the link member to remain closely spaced from the bin side wall throughout its length. 2. The bin of claim 1, wherein the arm member is pivotally attached to an axle bracket, and the axle bracket is fixed to a flange which depends from the bottom wall of the bin. 2o 3. A bin substantially as hereinbefore described with reference to the drawings. DATED this 3 rd day of August 1999 Kevin Sydney LANSDOWN By his Patent Attorneys CULLEN CO. 12J; FIA 0* a. a F I B"
"1999042442","ABSTRACT A mobile bin having an attached lid lifting assembly, the assembly having a pivoting foot operated arm member which is pivotally attached to the bin side wall for pivoting movement about a horizontal axis, and which is attached to the bin wall adjacent a lower portion of the bin, the arm member having a forward portion which can be depressed by a persons foot and a rear portion, a rigid link member having a lower portion attached to the rear portion of the arm member and which extends to the bin lid and is closely spaced from the side wall of the bin at least between a position from lo above the bin wheels to below the bin lid, the link member having an upper .i portion which abuts against the bin lid, whereby depression of the arm member causes the link member to move upwardly to open the bin lid l.o. o*"
"1999042443","Abstract A trading card (10) capable of generating sounds comprises a thin housing (12) having front and back surfaces, flexible sheets (16, 18) affixed to the front surface and to the back surface of the housing, a voice chip located in the housing for generating patterns of sounds, a battery located in the housing for supplying electrical power to the voice chip, and a switch located in the housing for activating the voice chip. The trading card (10) preferably has a piezoelectric driver coupled to a foam sound board for increasing the volume of sound. The subject trading card may be activated by squeezing the flexible sheets (16, 18) between the thumb and forefinger at a selected switch location. a a 9SL~ L'1=1 C C S C"
"1992010809","ABSTRACT (11) Document No. AU-A-10809/92 (19) AUSTRALIAN PATENT OFFICE (54) Title ATTACHMENT APPARATUS FOR BICYCLE PARTS WITH IMPROVED CORD FITTING International Patent Classification(s) (51) 5 B62J039/00 (21) Application No. 10809/92 (22) Application Date :07.02.92 Priority Data (31) Number (32) Date (33) Country 3-6678 U 18.02.91 JP JAPAN (43) Publication Date 20.08.92 (71) Applicant(s) CATEYE CO., LTD. (72) Inventor(s) GORO TAKEDA (74) Attorney or Agent DAVIES COLLISON CAVE 1 Little Collins Street, MELBOURNE VIC 3000 One object of the present invention is to provide an attachment apparatus for bicycle parts for readily and securely protecting attachment parts of core wires of a cord from the outside. Another object of the present invention is to provide an attachment apparatus for bicycle parts capable of facilitating inspections, repairs or the like of a core wire attachment portion of a cord. Claim 1. An attachment apparatus for bicycle parts comprising: a first attachment part attached to component parts of a bicycle and having a flat projected piece a second attachment part having a fitting portion (21) slidable with respect to said projected piece and provided for attachment of said first attachment part by using said fitting portion and for fixing bicycle parts thereon; and i Ci 2 14 I r 51 Ylrr)l (11)10809/92 a cord (25) connected through the vicinity of said fitting portion of said second attachment part to said bicycle parts, wherein when said projected piece and said fitting portion are engaged with each other, a portion of said cord is pressed by a tip end of said projected piece. p 1)"
"1992010809","Claim 1. An attachment apparatus for bicycle accessories, comprising: a first attachment part arranged to be attached to a part of a bicycle, said first attachment part having a flat projecting piece; a second attachment part having groove means arranged to slidably receive said projecting piece and which is arranged to receive a bicycle accessory thereon; an electrical cable passing substantially adjacent to said groove means and arranged to be connected to said bicycle accessory; and wherein when said projecting piece and said groove means are connected with each other, a portion of said electrical cable is pressed by a first end of said projecting piece."
"1992010810","ABSTRACT (11) Document No. AU-A-10810/92 (19) AUSTRALIAN PATENT OFFICE (54) (51) 5 (21) (31) (43) (71) (72) (74) (57) Title PARTS UNIT WITH IMPROVED SEALING PERFORMANCE AND MAINTAINABILITY International Patent Classification(s) G01P 001/02 Application No.: 10810/92 (22) Application Date 07.c Priority Data Number (32) Date (33) Country 3-6679 U 18.02.91 JP JAPAN Publication Date 20.08.92 Applicant(s) CATEYE CO., LTD. Inventor(s) GORO TAKEDA Attorney or Agent DAVIES COLLISON CAVE 1 Little Collins Street, MELBOURNE VIC 3000 Claim 02.92 1. A parts unit for incorporating parts for use in a two-wheeled vehicle, comprising: holding means (21) having a rod-like shape for holding.a reed switch (29) constituting a sensor on a tip end of said holding means; storage means having a cylindrical shape with one end closed and the other end opened for allowing said holding means to be freely inserted therein along with said reed switch from said other end; and sealing means (23) for sealing the inside of said storage means from the outside, with said holding means being inserted into said storage means. 2. The parts unit according to claim 1, wherein said sealing means comprises an 0 ring provided in said holding means. hhmr-"
"1992010810","Claim 1. A sensor unit for incorporating therein a sensor for detecting the rotation of a wheel of a two-wheeled vehicle, comprising: holding means having a rod-like shape arranged to hold a reed switch constituting a sensor on a tip end thereof; a sensor housing having a substantially cylindrical shape, said sensor housing having a closed end and an open end through which said holding means can be freely inserted along with said sensor; and sealing means comprising an O-ring for sealing the inside of said sensor housing from the outside when said holding means is inserted in said sensor housing. II N"
"1992010811","ABSTRACT (11) Document No. AU-A-10811/92 (19) AUSTRALIAN PATENT OFFICE (54) Title PARTS FOR TWO-WHEELED VEHICLES WITH IMPROVED SEALING PERFORMANCE FROM THE OUTSIDE International Patent Classification(s) (51) 5 G01P 001/02 G01P 001/07 (21) Application No.: 10811/92 (22) Application Date :07.02.92 Priority Data (31) Number (32) Date (33) Country 3-8388 U 22.02.91 JP JAPAN (43) Publication Date 27.08.92 (71) Applicant(s) CATEYE CO., LTD. (72) Inventor(s) NOBUO SAKURAI (74) Attorney or Agent DAVIES COLLISON CAVE, 1 Little Collins Street, MELBOURNE VIC 3000 (57) Claim 1. Parts for a two-wheeled vehicle, comprising: a first cover (11) having a functional element therein and having a cross-section of a shape to cover said functional element; a second cover (13) corresponding to said first cover so that an end surface of said second cover can be engaged with an end surface of said first cover, and having a cross-section of a shape to cover said functional element; and a projection (25) formed on one of the respective end surfaces of said first and second covers, wherein -s said first cover and said second cover are connected to each other through said projection by ultrasonic welding. '<1"
"1992010811","Claim 1. A meter for a two-wheeled vehicle, comprising: a first cover having a crystal oscillator means therein and having a cross-section of a shape to cover said crystal oscillator means; a second cover corresponding to said first cover so that an end surface of said second cover can be engaged with an end surface of said first cover, and having a cross-section of a shape to cover said crystal oscillator means; a projection formed on one of the respective end surfaces of said first and second covers; and wherein said first cover and said second cover are connected to each other through said projection by ultrasonic oscillation and without damaging the crystal oscillator means."
"1999042444","(12) PATENT APPLICATION (11) Application No. AU 199942444 Al (19) AUSTRALIAN PATENT OFFICE (54) Title Method for producing and shipping metal cyanide salts (51) 6 International Patent Classification(s) C01C 003/08 C01C 003/10 (21) Application No: 199942444 (22) Application Date: 1999.08.03 Priority Data (31) Number (32) Date (33) Country 09128879 1998.08.04 US (43) Publication Date: 2000.02.24 (43) Publication Journal Date 2000.02.24 (71) Applicant(s) Mining Services International (72) Inventor(s) John T. Day; Mark Reynolds; Clayton Odum (74) Agent/Attorney GRIFFITH HACK,GPO Box 1285K,MELBOURNE VIC 3001 USTHOD FOR pP.ODUCING A~ND SHIEPPING; METAL CYANIDE SALTS Abstrc fteDslosure metal cyanide suitable for shipment is prepared by introducing an aqueous metal cyanide feed stream to a crystallizer to form a slurry of metal cyanide crystals in their mother liquor. The crystallizationl step occurs at a temperature between 30 0 C and 700C, and preferably between 50 0 C to about 600C. The metal cyanide crystals are separated from their mother liquor to form a wet cake product containing from about to 98 wt.% anhydrous metal cyanide crystals, from about 4 to 24 wt.% water, and from about 1 to 5 wt.% of metal hydroxide. The wet cake product is placed into a shipping container for shipment to a desired location. A metal cyanide solution is prepared by dissolving the wet cake p roduct. CC *C C C"
"1999042444","Abstract of the Disclosure Metal cyanide suitable for shipment is prepared by an aqueous retal cyanide feed stream to a crystallizer to form a slurry of metal cyanide crystals in their mother liquor. The crystallization step occurs at a temperature between 300C and 700C, and preferably between 500C to about 600C. The metal cyanide crystals are separated from their mother liquor to form a wet cake product containing from about to 98 wt.% anhydrous metal cyanide crystals, from about 4 to 24 wtA. water, and from about 1 to 5 wt% of metal hydroxide. The wet cake product is placed into a shipping container for shipment to a desired location. A metal cyanide solution is prepared by dissolving the wet cake product. 05 80 0 0"
"1999042445","Abstract In a program broadcasting system for multiplexing and broadcasting TV-program data and program guide information, the constitution comprises a program frame creating unit 32 for creating a program frame of program guide information from program element transmitting schedule of program elements for composing a program, and a frame creating rule storage unit 34 for storing'the rule for creating the program frame of program guide information, in which the program frame creating unit creates automatically the program frame according to the rule stored in the frame creating rule storage unit. It hence can automatically create the program frame which is most important for creating program guide information. C S 06 0 *C oC S"
"1999042445","Abstract In a program broadcasting system for multiplexing and broadcasting TV-program data and program guide information, the constitution comprises a program frame creating unit 32 for creating a program frame of program guide information from program element transmitting schedule of program elements for composing a program, and a frame creating rule storage unit 34 for storing'the rule for creating the program frame of program guide information, in which the program frame creating unit creates automatically the program frame according to the rule stored in the frame creating rule storage unit. It hence can automatically create the program frame which is most important for creating program guide information. o* C CC C 'S FIG. 1 11 Video-audio data transmittii control unit PET schedule unit Signal input IET s chedule change Video-audio data nntir transmitting control Program guide information storing Unit T-n3A Video-audio data transmitting unit information"
"1999042446","ABSTRACT OF THE DISCLOSURE A mutant viral disease resistant cotton gene designated VRDP is disclosed. The invention relates to seeds and plants containing the viral disease resistant gene. The invention further relates to seeds and plants of cotton cultivar DeltaOPAL and to methods for producing a hybrid cotton seed and plant by crossing with DeltaOPAL. *0 00* 0 00 0"
"1999042447","ABSTRACT OF THE DISCLOSURE An encapsulated fuse assembly with a corona shield for use in high voltage underground power distribution systems. The fuse assembly includes a fuse encapsulated within an insulative outer housing. The outer surface of the fuse is coated with an electrically conductive material which is in electrical connection with one of the fuse terminals and extends along the outer surface of the fuse body to a point intermediate the other terminal leaving a portion of the fuse body not coated with the conductive material. Preferably, at least the terminal of the fuse not in contact with the conductive material is enveloped by an electrically conductive insert disposed within the insulative outer housing which along with the conductive coating establish an effective corona shield around the fuse without providing an alternate electrical circuit between the fuse terminals. The fuse assembly may include a fuse spacer which provides an electrical extension to the fuse so that different size fuses may be utilized within a standard size housing. *e S VS S. S 6 FIG-2 23 23 N,"
"1999042447","ABSTRACT OF TME DISCLOSURE An encapsulated fuse assembly with a corona, shield for use in high voltage underground power distribution systems. The fuse assembly includes a fuse encapsulated within an insulative outer housing. The outer surface of the fuse is coated with an electrically conductive material which is in electrical connection with one of the fuise terminals and extends along the outer surface of the fuise body to a point intermediate the other terminal leaving a portion of the fuse body not coated with the conductive material. Preferably, at least the terminal of the fuse not in contact with the conductive material is enveloped by an electrically conductive insert disposed within the insulative outer housing which along with the conductive coating establish an effective corona shield around the fuise without providing an alternate electrical circuit between the fuse terminals. The fuise assembly may include a fuise spacer which provides an electrical extension to the fuse so that different size fuses may be utilized within a standard size housing."
"1999042448","ABSTRACT OF THE DISCLOSURE This invention provides a picture information applying method and apparatus f or causing a recording medium to be used for another application and a recording medium used therefor. For this purpose, picture data is recorded on a recording medium and associated information containing at least a to-be- connected destination and merchandise guidance for a merchandise appearing in a video image displayed based on the picture data is recorded, and when a recording signal-of the recording medium is played back, the corresponding merchandise guidance can be observed based on the associated information and it is made possible to make contact with the destination associated with the corresponding merchandise based on the associated information. 0 0.) sees"
